game,cpu color,num workers,thinking time,winner,elo
1,black,2,750,black,2600
2,black,2,750,draw,2600
3,black,2,750,white,2600
4,black,2,750,white,2600
5,black,2,750,white,2600
6,black,2,750,white,2600
7,black,2,750,black,2600
8,black,2,750,black,2600
9,black,2,750,black,2600
10,black,2,750,black,2600
11,black,2,750,black,2600
12,black,2,750,black,2600
13,black,2,750,black,2600
14,black,2,750,black,2600
15,black,2,750,white,2600
16,black,2,750,white,2600
17,black,2,750,white,2600
18,black,2,750,black,2600
19,black,2,750,black,2600
20,black,2,750,white,2600
21,black,2,750,black,2600
22,black,2,750,black,2600
23,black,2,750,black,2600
24,black,2,750,black,2600
25,black,2,750,white,2600
